market_key,yt_mint,note
USX-16SEP26,47gQiyWpVd13mmAFXemW1wVTd2e2GYKq5bLrdRXUfxsS,Solstice USX Sept 2026 — YT mint discovered via tx introspection (no Metaplex metadata)
eUSX-16SEP26,BKvVBAWWLB77yAbhm2Ctd62ewZ8yEvGXsZowBhDLKM6F,Solstice eUSX Sept 2026 — YT mint discovered via tx introspection
